Program_ID,Code,Label_Counterexample,Search_Steps
0,"[('*', 'x3', 'x3', 'v0'), ('*', 'x7', 'x2', 'v1'), ('//', 'x4', 'x1', 'v2'), ('//', 'x3', 'x8', 'v3'), ('//', 'x0', 'x7', 'v4'), ('//', 'x0', 'x5', 'v5'), ('+', 'x5', 'const_0', 'v6'), ('//', 'v4', 'v6', 'v7'), ('//', 'v1', 'x5', 'v8'), ('//', 'x2', 'v7', 'v9')]","(9, 0, 8, 0, 0, 9, 0, 1, 0, 0)",1
1,"[('//', 'x4', 'x2', 'v0'), ('//', 'x6', 'const_1', 'v1'), ('+', 'x4', 'v1', 'v2'), ('*', 'x3', 'x6', 'v3'), ('+', 'x3', 'v0', 'v4'), ('//', 'v0', 'x0', 'v5'), ('+', 'const_0', 'v3', 'v6'), ('+', 'x2', 'x4', 'v7'), ('*', 'x4', 'x5', 'v8'), ('+', 'x2', 'v4', 'v9')]","(0, 0, 8, 9, 8, 0, 0, 0, 0, 0)",1
2,"[('*', 'x4', 'const_1', 'v0'), ('*', 'x5', 'x5', 'v1'), ('+', 'v0', 'x0', 'v2'), ('*', 'v0', 'x6', 'v3'), ('//', 'const_1', 'x2', 'v4'), ('*', 'x2', 'x3', 'v5'), ('*', 'const_1', 'x4', 'v6'), ('+', 'x7', 'v1', 'v7'), ('//', 'x9', 'v7', 'v8'), ('+', 'v0', 'v0', 'v9')]","(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",1
3,"[('*', 'x5', 'x2', 'v0'), ('//', 'x7', 'x3', 'v1'), ('+', 'x1', 'const_0', 'v2'), ('//', 'v1', 'x2', 'v3'), ('//', 'x7', 'x3', 'v4'), ('//', 'x0', 'x5', 'v5'), ('//', 'v0', 'x6', 'v6'), ('*', 'v0', 'x3', 'v7'), ('//', 'x5', 'x0', 'v8'), ('//', 'v4', 'x9', 'v9')]","(0, 0, 0, 2, 0, 0, 0, 9, 0, 4)",1
4,"[('//', 'x9', 'x6', 'v0'), ('*', 'const_0', 'v0', 'v1'), ('+', 'x3', 'x5', 'v2'), ('*', 'x0', 'x7', 'v3'), ('+', 'x4', 'x9', 'v4'), ('*', 'x5', 'x4', 'v5'), ('//', 'v5', 'const_1', 'v6'), ('+', 'x2', 'x9', 'v7'), ('*', 'v5', 'const_0', 'v8'), ('+', 'x9', 'v8', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",1
5,"[('+', 'x7', 'x9', 'v0'), ('*', 'x2', 'x2', 'v1'), ('*', 'x8', 'x3', 'v2'), ('*', 'v1', 'x0', 'v3'), ('//', 'v2', 'const_1', 'v4'), ('+', 'x5', 'x3', 'v5'), ('//', 'v3', 'x3', 'v6'), ('+', 'x1', 'v6', 'v7'), ('//', 'const_0', 'v6', 'v8'), ('+', 'v5', 'x6', 'v9')]","(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",1
6,"[('*', 'x9', 'x8', 'v0'), ('+', 'x6', 'const_0', 'v1'), ('+', 'x1', 'x7', 'v2'), ('*', 'const_1', 'x1', 'v3'), ('//', 'x0', 'x0', 'v4'), ('*', 'x7', 'x2', 'v5'), ('*', 'x5', 'const_1', 'v6'), ('//', 'x2', 'v5', 'v7'), ('*', 'x0', 'x1', 'v8'), ('//', 'x3', 'x8', 'v9')]","(0, 0, 0, 5, 0, 0, 0, 0, 1, 0)",1
7,"[('//', 'x0', 'x2', 'v0'), ('*', 'x0', 'x9', 'v1'), ('//', 'x7', 'x1', 'v2'), ('+', 'const_1', 'const_0', 'v3'), ('*', 'const_0', 'x4', 'v4'), ('//', 'x4', 'x5', 'v5'), ('+', 'x2', 'x8', 'v6'), ('+', 'v5', 'const_1', 'v7'), ('*', 'v5', 'x1', 'v8'), ('//', 'v8', 'v4', 'v9')]",None,1
8,"[('//', 'const_0', 'x8', 'v0'), ('//', 'x5', 'v0', 'v1'), ('+', 'x4', 'const_0', 'v2'), ('//', 'v0', 'x5', 'v3'), ('+', 'v1', 'v2', 'v4'), ('*', 'x3', 'x0', 'v5'), ('//', 'x9', 'v2', 'v6'), ('*', 'v6', 'x7', 'v7'), ('+', 'const_0', 'v0', 'v8'), ('*', 'x5', 'v1', 'v9')]",None,1
9,"[('//', 'x3', 'const_1', 'v0'), ('//', 'x8', 'x8', 'v1'), ('*', 'x6', 'x3', 'v2'), ('*', 'x6', 'v2', 'v3'), ('+', 'x5', 'const_1', 'v4'), ('+', 'x2', 'x4', 'v5'), ('+', 'const_0', 'x3', 'v6'), ('+', 'v4', 'x6', 'v7'), ('*', 'v3', 'x8', 'v8'), ('+', 'x2', 'v3', 'v9')]","(0, 0, 0, 1, 0, 0, 1, 0, 0, 0)",1
10,"[('+', 'x1', 'x9', 'v0'), ('//', 'x2', 'x0', 'v1'), ('*', 'x6', 'x6', 'v2'), ('//', 'const_0', 'v2', 'v3'), ('//', 'x4', 'x9', 'v4'), ('*', 'v1', 'v1', 'v5'), ('//', 'const_1', 'x1', 'v6'), ('+', 'v4', 'v0', 'v7'), ('+', 'x8', 'x7', 'v8'), ('+', 'v3', 'v0', 'v9')]","(0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",1
